127,72,39,48,13,13,6,2,0,0,2,0,14,0,1,5,0,0,7,15,3,1,0,0,0,3,4,0,11,10,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,2,1,0,2
153,17,1,0,5,0,2,0,0,14,27,0,0,18,0,0,0,5,2,0,1,0,0,0,5,1,3,0,0,0,1,2,0,2,5,0,4,1,0,2,2,3,2,2,0,2,0,0,1,0
74,31,11,17,1,0,13,10,0,0,0,2,3,7,0,3,0,8,0,4,20,15,0,0,0,5,2,0,0,0,0,1,0,0,0,3,3,0,3,0,0,0,0,0,0,0,1,0,0,0
17,0,29,7,0,0,5,29,38,0,3,32,0,0,0,0,19,0,0,3,0,1,0,9,1,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,5,34,12,2,13,4,6,0,0,0,0,5,0,2,0,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,18,1,11,49,14,12,0,0,0,0,1,0,0,0,5,0,3,1,0,0,0,0,0,2,2,0,3,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,18,3,3,0,0,9,3,7,29,9,0,1,1,0,4,3,1,4,2,0,0,0,0,4,0,0,0,0,0,4,0,0,0,1,0,0,0,0,2,3,0,3,2,0,1,0,0,1,0
52,3,13,1,4,16,4,2,0,0,0,0,4,0,12,0,0,7,2,0,0,0,2,0,0,2,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
17,26,2,8,33,1,9,0,0,0,0,0,0,2,0,5,0,1,1,0,0,0,0,10,6,1,0,3,0,0,0,2,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
11,0,27,3,0,11,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
40,3,12,2,0,9,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20,0,11,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,1,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,3,8,1,0,0,1,0,0,0,6,1,1,8,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
